origen,destino,status,fase,notas
https://kreoon.com/marketing-ads,https://app.kreoon.com/marketing-ads,301,F4,
https://kreoon.com/crm,https://app.kreoon.com/crm,301,F4,
https://kreoon.com/crm/*,https://app.kreoon.com/crm/*,301,F4,Wildcard para todo el CRM
https://kreoon.com/org-crm,https://app.kreoon.com/org-crm,301,F4,
https://kreoon.com/org-crm/*,https://app.kreoon.com/org-crm/*,301,F4,
https://kreoon.com/settings,https://app.kreoon.com/settings,301,F4,
https://kreoon.com/planes,https://app.kreoon.com/planes,301,F4,
https://kreoon.com/wallet,https://app.kreoon.com/wallet,301,F4,
https://kreoon.com/wallet/*,https://app.kreoon.com/wallet/*,301,F4,
https://kreoon.com/admin/*,https://app.kreoon.com/admin/*,301,F4,
https://kreoon.com/ad-generator,https://app.kreoon.com/ad-generator,301,F4,
https://kreoon.com/ad-generator/:productId,https://app.kreoon.com/ad-generator/:productId,301,F4,
https://kreoon.com/social-hub,https://app.kreoon.com/social-hub,301,F4,
https://kreoon.com/booking/*,https://app.kreoon.com/booking/*,301,F4,Calendario interno
https://kreoon.com/book/:username,https://app.kreoon.com/book/:username,301,F4,Booking público (decidir si va en web o app — recomiendo app por features de auth)
https://kreoon.com/streaming/*,https://app.kreoon.com/streaming/*,301,F4,
https://kreoon.com/live,https://app.kreoon.com/live,301,F4,
https://kreoon.com/live/*,https://app.kreoon.com/live/*,301,F4,
https://kreoon.com/auth,https://app.kreoon.com/auth,301,F4,Auth interno del SaaS. /login del Next.js es admin agency.
https://kreoon.com/auth/*,https://app.kreoon.com/auth/*,301,F4,
https://kreoon.com/register,https://app.kreoon.com/register,301,F4,Registro SaaS (diferente a /registro Next.js que es agencia)
https://kreoon.com/welcome,https://app.kreoon.com/welcome,301,F4,
https://kreoon.com/welcome/*,https://app.kreoon.com/welcome/*,301,F4,Incluye /welcome/ugc-colombia
https://kreoon.com/onboarding/*,https://app.kreoon.com/onboarding/*,301,F4,
https://kreoon.com/dashboard,https://app.kreoon.com/dashboard,301,F4,
https://kreoon.com/creator-dashboard,https://app.kreoon.com/creator-dashboard,301,F4,
https://kreoon.com/editor-dashboard,https://app.kreoon.com/editor-dashboard,301,F4,
https://kreoon.com/strategist-dashboard,https://app.kreoon.com/strategist-dashboard,301,F4,
https://kreoon.com/client-dashboard,https://app.kreoon.com/client-dashboard,301,F4,
https://kreoon.com/client-board,https://app.kreoon.com/client-board,301,F4,
https://kreoon.com/demo,https://app.kreoon.com/demo,301,F4,
https://kreoon.com/marketplace,https://app.kreoon.com/marketplace,301,F4,DECISIÓN: marketplace puede ser SEO-friendly en Next.js — evaluar mover a web/ en F7
https://kreoon.com/marketplace/*,https://app.kreoon.com/marketplace/*,301,F4,
https://kreoon.com/ranking,https://app.kreoon.com/ranking,301,F4,
https://kreoon.com/ambassador,https://app.kreoon.com/ambassador,301,F4,
https://kreoon.com/research/:productId,https://app.kreoon.com/research/:productId,301,F4,
https://kreoon.com/profile-builder,https://app.kreoon.com/profile-builder,301,F4,
https://kreoon.com/preview/:token,https://app.kreoon.com/preview/:token,301,F4,
https://kreoon.com/p/:username,https://kreoon.com/p/:username,200,F7,Perfil público de creator — DECISIÓN: mover a web/ por SEO (es la home del creator)
https://kreoon.com/@:username,https://kreoon.com/@:username,200,F7,Igual que /p/:username
https://kreoon.com/profile/:userId,https://app.kreoon.com/profile/:userId,301,F4,Perfil autenticado
https://kreoon.com/company/:username,https://kreoon.com/company/:username,200,F7,Perfil público de organización — mover a web/ por SEO
https://kreoon.com/review/:token,https://app.kreoon.com/review/:token,301,F4,Review público (link mágico)
https://kreoon.com/up-documentation,https://app.kreoon.com/up-documentation,301,F4,
https://kreoon.com/mcp-docs,https://app.kreoon.com/mcp-docs,301,F4,
https://kreoon.com/r/:code,https://app.kreoon.com/r/:code,301,F4,Referral landing
https://kreoon.com/marca-referida,https://app.kreoon.com/marca-referida,301,F4,
https://kreoon.com/no-company,https://app.kreoon.com/no-company,301,F4,
https://kreoon.com/no-organization,https://app.kreoon.com/no-organization,301,F4,
https://kreoon.com/pending-access,https://app.kreoon.com/pending-access,301,F4,
https://kreoon.com/unauthorized,https://app.kreoon.com/unauthorized,301,F4,
https://kreoon.com/unlock-access,https://app.kreoon.com/unlock-access,301,F4,
https://kreoon.com/welcome-talent,https://app.kreoon.com/welcome-talent,301,F4,
https://kreoon.com/subscription/success,https://app.kreoon.com/subscription/success,301,F4,
https://kreoon.com/subscription/cancel,https://app.kreoon.com/subscription/cancel,301,F4,
https://kreoon.com/org/:slug,https://app.kreoon.com/org/:slug,301,F4,
https://kreoon.com/org/:slug/talento,https://app.kreoon.com/org/:slug/talento,301,F4,
https://kreoon.com/org/:slug/contenido,https://app.kreoon.com/org/:slug/contenido,301,F4,
https://kreoon.com/auth/org/:slug,https://app.kreoon.com/auth/org/:slug,301,F4,
https://kreoon.com/privacy,https://kreoon.com/legal/privacidad,301,F3,Unificar slug legal con Next.js (español)
https://kreoon.com/terms,https://kreoon.com/legal/terminos,301,F3,
https://kreoon.com/data-deletion,https://kreoon.com/legal/eliminacion-datos,301,F3,Crear página en Next.js
https://kreoon.com/legal/:documentType,https://kreoon.com/legal/:documentType,200,F3,Mantener (Next.js ya tiene /legal/*)
